"game_id","home_team","away_team","game_date","kalshi_prob_home","kalshi_prob_away","home_score","away_score","home_win",".prob",".y",".prob_clipped","brier","logloss"
"22e737f4ba0084666d3393962b06c3b1","Minnesota Timberwolves","Golden State Warriors",2025-05-08,0.87,0.13,117,93,1,0.87,1,0.87,0.0169,0.139262067333508
"24de1e032f1519e144f30fc6f43079b4","Brooklyn Nets","Toronto Raptors",2025-11-11,0.27,0.73,109,119,0,0.27,0,0.27,0.0729,0.3147107448397
"26cc3cb8ab41744f98362d3f18a9869d","New Orleans Pelicans","Portland Trail Blazers",2025-11-12,0.2,0.8,117,125,0,0.2,0,0.2,0.04,0.22314355131421
"27a47dd17db5b4e2788c58cb75b827df","Portland Trail Blazers","Chicago Bulls",2025-11-19,0.5,0.5,121,122,0,0.5,0,0.5,0.25,0.693147180559945
"27c8840c8c45f792ac973275c9edfb49","Boston Celtics","Washington Wizards",2025-11-05,0.78,0.22,136,107,1,0.78,1,0.78,0.0484,0.2484613592985
"27dd6a6f0a3c64d4bf137c426f93c530","Philadelphia 76ers","Boston Celtics",2025-11-11,0.52,0.48,102,100,1,0.52,1,0.52,0.2304,0.653926467406664
"280a8379b89f8ad370276332b30328d6","Houston Rockets","Golden State Warriors",2025-04-23,0.72,0.28,109,94,1,0.72,1,0.72,0.0784,0.328504066972036
"29b861ac757bdd61a335f2c275cdc839","New York Knicks","Minnesota Timberwolves",2025-11-05,0.45,0.55,137,114,1,0.45,1,0.45,0.3025,0.798507696217772
"2a534db0689c24c8b50c65bd9e0d2c82","Minnesota Timberwolves","Sacramento Kings",2025-11-14,0.89,0.11,124,110,1,0.89,1,0.89,0.0121,0.116533816255952
"2c566908fd21c1179a1affda3f24b101","Charlotte Hornets","Brooklyn Nets",2025-10-22,0.64,0.36,136,117,1,0.64,1,0.64,0.1296,0.446287102628419
"2cc4aa6d732a30d94489658e4db6496a","New Orleans Pelicans","Golden State Warriors",2025-11-16,0.13,0.87,106,124,0,0.13,0,0.13,0.0169,0.139262067333508
"2e21146d8cd6ca6c712c950397066e76","Houston Rockets","Golden State Warriors",2025-04-30,0.88,0.12,131,116,1,0.88,1,0.88,0.0144,0.127833371509885
"2ef029bf85c7722eb25b2f40e9bfffba","Memphis Grizzlies","Indiana Pacers",2025-10-25,0.61,0.39,128,103,1,0.61,1,0.61,0.1521,0.49429632181478
"301506911df04b3ac148721fae1aceae","Miami Heat","Golden State Warriors",2025-11-19,0.88,0.12,110,96,1,0.88,1,0.88,0.0144,0.127833371509885
"30d2f5a8d2c0848e608e6d9904f7242b","Washington Wizards","Orlando Magic",2025-11-01,0.23,0.77,94,125,0,0.23,0,0.23,0.0529,0.261364764134408
"314bcd3de3454494ecb012ef351bcb41","Los Angeles Clippers","Portland Trail Blazers",2025-10-26,0.76,0.24,114,107,1,0.76,1,0.76,0.0576,0.27443684570176
"32340eec3e6f948859da513d81047c24","Brooklyn Nets","Philadelphia 76ers",2025-11-02,0.34,0.66,105,129,0,0.34,0,0.34,0.1156,0.415515443961666
"32d285715ef87d49b04641e1d07538fd","Miami Heat","Cleveland Cavaliers",2025-04-28,0.05,0.95,83,138,0,0.05,0,0.05,0.0025,0.0512932943875506
"34d6f71a0551df167b69000fb92694bf","Golden State Warriors","Los Angeles Clippers",2025-10-28,0.53,0.47,98,79,1,0.53,1,0.53,0.2209,0.63487827243597
"34e829d65b6a0cbb49573338a86772ec","Indiana Pacers","Cleveland Cavaliers",2025-05-09,0.23,0.77,104,126,0,0.23,0,0.23,0.0529,0.261364764134408
"34f945e9809f0f47a9ea3af857fd899b","Denver Nuggets","Sacramento Kings",2025-11-03,0.86,0.14,130,124,1,0.86,1,0.86,0.0196,0.150822889734584
"365cc68ed4c6432e32493aad00ff96ff","Sacramento Kings","Golden State Warriors",2025-11-05,0.38,0.62,121,116,1,0.38,1,0.38,0.3844,0.967584026261706
"3784e9747b97bec1c1aab8f693656f18","Philadelphia 76ers","Boston Celtics",2025-10-31,0.4,0.6,108,109,0,0.4,0,0.4,0.16,0.510825623765991
"3794a894ae3da0a51df7ce06f5696197","Cleveland Cavaliers","Chicago Bulls",2025-11-08,0.79,0.21,128,122,1,0.79,1,0.79,0.0441,0.23572233352107
"37d2920127740f016f71516a1abe38b8","Los Angeles Lakers","Miami Heat",2025-11-02,0.74,0.26,130,120,1,0.74,1,0.74,0.0676,0.301105092783922
"386b2abe66400fda8e18e80151fb0512","Toronto Raptors","Charlotte Hornets",2025-11-17,0.78,0.22,110,108,1,0.78,1,0.78,0.0484,0.2484613592985
"38be9cf3227ca4d2ff10639d21d2db4a","Cleveland Cavaliers","Los Angeles Clippers",2025-11-23,0.62,0.38,120,105,1,0.62,1,0.62,0.1444,0.478035800943
"38c536954f1b21020fbae78711a00d28","Dallas Mavericks","Memphis Grizzlies",2025-11-22,0.54,0.46,96,102,0,0.54,0,0.54,0.2916,0.776528789498996
"3a6b0d7961360bd22e31e59ea415ff57","Minnesota Timberwolves","Denver Nuggets",2025-10-27,0.26,0.74,114,127,0,0.26,0,0.26,0.0676,0.301105092783922
"3aeb77299e031d5b0b35e26048a29c48","Indiana Pacers","Cleveland Cavaliers",2025-05-11,0.55,0.45,129,109,1,0.55,1,0.55,0.2025,0.59783700075562
"3b370cb6a9f1c935bc68cbe2e1866d21","Sacramento Kings","Utah Jazz",2025-10-24,0.65,0.35,105,104,1,0.65,1,0.65,0.1225,0.430782916092454
"3bb045e8e56483e4687e2aad7fc77870","Houston Rockets","Brooklyn Nets",2025-10-27,0.93,0.07,137,109,1,0.93,1,0.93,0.00489999999999999,0.0725706928348354
"3bc5054ad4bc0f2c50cd87a3fcb8cd45","Detroit Pistons","New York Knicks",2025-04-24,0.4,0.6,116,118,0,0.4,0,0.4,0.16,0.510825623765991
"3e9ff8cc7c27a9e791ef15809ccd4721","Utah Jazz","Indiana Pacers",2025-11-11,0.39,0.61,152,128,1,0.39,1,0.39,0.3721,0.941608539858445
"3f7e2359b4a5532aafa274ff22714d51","Charlotte Hornets","Los Angeles Lakers",2025-11-10,0.22,0.78,111,121,0,0.22,0,0.22,0.0484,0.2484613592985
"3fc01d671e3d50fdc6b651512d8b931a","Utah Jazz","Chicago Bulls",2025-11-16,0.42,0.58,150,147,1,0.42,1,0.42,0.3364,0.867500567704723
"4363c18037d5a036ba50719163a6fd75","Denver Nuggets","Phoenix Suns",2025-10-25,0.88,0.12,133,111,1,0.88,1,0.88,0.0144,0.127833371509885
"460ca5da65548d349cb007bdceb84163","Golden State Warriors","Portland Trail Blazers",2025-11-21,0.71,0.29,123,127,0,0.71,0,0.71,0.5041,1.23787435600162
"46118acd6bad6d91e3a202453d0f8f50","Milwaukee Bucks","Detroit Pistons",2025-11-22,0.18,0.82,116,129,0,0.18,0,0.18,0.0324,0.198450938723838
"46824344ea7ec8ac8ae11661eb812d50","Oklahoma City Thunder","Indiana Pacers",2025-06-08,0.82,0.18,123,107,1,0.82,1,0.82,0.0324,0.198450938723838
"471ffaffeffd40b0387b1a398fb2f8d9","Minnesota Timberwolves","Dallas Mavericks",2025-11-17,0.9,0.1,120,96,1,0.9,1,0.9,0.01,0.105360515657826
"487e7f4cbc287a6a3d1851600ff450ab","Charlotte Hornets","Oklahoma City Thunder",2025-11-15,0.08,0.92,96,109,0,0.08,0,0.08,0.00639999999999999,0.083381608939051
"489ebe4bfe555790c22904d280a12dfc","Indiana Pacers","New York Knicks",2025-05-27,0.61,0.39,130,121,1,0.61,1,0.61,0.1521,0.49429632181478
"4a51c193617f1f42b668152595a3a6f5","Los Angeles Clippers","Phoenix Suns",2025-11-08,0.53,0.47,103,114,0,0.53,0,0.53,0.2809,0.755022584278033
"4be505ae223e96b80b5740f1b63d5fb1","Detroit Pistons","Orlando Magic",2025-10-29,0.43,0.57,135,116,1,0.43,1,0.43,0.3249,0.843970070294529
"4f07ee458d197bc2ccdcfcd9934ffc03","Dallas Mavericks","Milwaukee Bucks",2025-11-10,0.28,0.72,114,116,0,0.28,0,0.28,0.0784,0.328504066972036
"531fd3384c3ec81f9734480d6a0b755a","Oklahoma City Thunder","Golden State Warriors",2025-11-11,0.81,0.19,126,102,1,0.81,1,0.81,0.0361,0.210721031315653
"540e1ce6de3ffba9b4d0feacd11eb735","Los Angeles Clippers","Denver Nuggets",2025-05-01,0.71,0.29,111,105,1,0.71,1,0.71,0.0841,0.342490308946776
"551a4b401ac8558669eaa7a0a801718b","Minnesota Timberwolves","Golden State Warriors",2025-05-14,0.83,0.17,121,110,1,0.83,1,0.83,0.0289,0.186329578191493
"5576790fe7926d304297579d026403b8","Detroit Pistons","Boston Celtics",2025-10-26,0.37,0.63,119,113,1,0.37,1,0.37,0.3969,0.994252273343867
"55cfba1e2fab74c5fc7d57c977e0e3b8","Indiana Pacers","New York Knicks",2025-05-25,0.52,0.48,100,106,0,0.52,0,0.52,0.2704,0.7339691750802
"563e1ce28fbf2a9fdd4cda9c12861ea6","Memphis Grizzlies","Oklahoma City Thunder",2025-11-09,0.18,0.82,100,114,0,0.18,0,0.18,0.0324,0.198450938723838
"5672262c6a3f8d7950dfe370f1146822","Los Angeles Clippers","Phoenix Suns",2025-10-24,0.67,0.33,129,102,1,0.67,1,0.67,0.1089,0.400477566597125
"56ee01cdacc4914d19da5cf5f54e28e7","Los Angeles Clippers","Oklahoma City Thunder",2025-11-04,0.4,0.6,107,126,0,0.4,0,0.4,0.16,0.510825623765991
